CustomerID,Lookalikes
C0001,"[('C0024', 0.9999995602895471), ('C0189', 0.9999995223017892), ('C0107', 0.9999992987288605)]"
C0002,"[('C0129', 0.9999986241739094), ('C0019', 0.9999976105044474), ('C0076', 0.9999964866909914)]"
C0003,"[('C0179', 0.9999986381164016), ('C0190', 0.9999977878089973), ('C0064', 0.999997471965757)]"
C0004,"[('C0045', 0.9999997425878637), ('C0143', 0.999999632608159), ('C0087', 0.999999535712592)]"
C0005,"[('C0132', 0.9999940595499688), ('C0089', 0.9999922799728349), ('C0192', 0.9999860673371479)]"
C0006,"[('C0152', 0.9999999408020365), ('C0011', 0.999999787825755), ('C0183', 0.9999992966223886)]"
C0007,"[('C0085', 0.9999994629015712), ('C0061', 0.9999993659305697), ('C0192', 0.9999968692112973)]"
C0008,"[('C0162', 0.9999994853786862), ('C0018', 0.999999152486131), ('C0182', 0.9999991029016019)]"
C0009,"[('C0080', 0.9999989356162494), ('C0020', 0.9999989072451441), ('C0015', 0.9997221834472639)]"
C0010,"[('C0047', 0.9999966614866559), ('C0030', 0.9999963139083675), ('C0027', 0.9999953752269275)]"
C0011,"[('C0006', 0.999999787825755), ('C0152', 0.9999997764506782), ('C0183', 0.999999351941821)]"
C0012,"[('C0093', 0.9999999361642606), ('C0046', 0.9999998340057383), ('C0039', 0.9999996219399435)]"
C0013,"[('C0108', 0.999999954266087), ('C0105', 0.9999998675227806), ('C0018', 0.9999996361760767)]"
C0014,"[('C0150', 0.9999916698493704), ('C0130', 0.9999914729032278), ('C0078', 0.9999883737520494)]"
C0015,"[('C0083', 0.9999891120949421), ('C0020', 0.9997230482532061), ('C0080', 0.9997221935364989)]"
C0016,"[('C0040', 0.9999995298101311), ('C0158', 0.9999992014909556), ('C0184', 0.999998726099741)]"
C0017,"[('C0053', 0.9999994449904289), ('C0136', 0.9999993781380174), ('C0102', 0.9999991553947899)]"
C0018,"[('C0162', 0.9999998706484516), ('C0108', 0.9999998138821791), ('C0105', 0.9999997019987703)]"
C0019,"[('C0088', 0.9999982603233878), ('C0116', 0.9999976305912889), ('C0002', 0.9999976105044474)]"
C0020,"[('C0080', 0.9999989938463089), ('C0009', 0.9999989072451441), ('C0015', 0.9997230482532061)]"
